Date;weather_code (wmo code);temperature_2m_mean (°C);sunshine_duration (s);rain_sum (mm);snowfall_sum (cm)
2024-01-01;53;5.2;17859.23;1.90;0.00
2024-01-02;73;4.7;0.00;9.80;0.28
2024-01-03;63;8.7;3789.20;9.30;0.00
2024-01-04;51;3.4;0.00;2.60;0.00
2024-01-05;73;0.4;0.00;1.40;2.80
2024-01-06;71;-0.6;0.00;0.00;0.98
2024-01-07;73;-3.2;5344.28;0.00;0.35
2024-01-08;3;-7.0;23225.03;0.00;0.00
2024-01-09;0;-7.9;23340.53;0.00;0.00
2024-01-10;1;-6.6;23453.27;0.00;0.00
2024-01-11;3;-2.5;0.00;0.00;0.00
2024-01-12;3;-0.6;0.00;0.00;0.00
2024-01-13;53;1.6;0.00;2.80;0.00
2024-01-14;73;1.6;0.00;2.80;0.77
2024-01-15;73;0.5;13422.91;0.30;0.42
2024-01-16;73;-1.1;7794.81;0.00;2.17
2024-01-17;73;-2.5;12968.04;0.00;1.68
2024-01-18;3;-2.9;13052.84;0.00;0.00
2024-01-19;3;-1.2;24847.46;0.00;0.00
2024-01-20;3;0.4;18846.26;0.00;0.00
2024-01-21;3;-0.7;2035.18;0.00;0.00
2024-01-22;55;5.7;1224.88;3.10;0.00
2024-01-23;51;4.5;15802.54;0.50;0.00
2024-01-24;61;8.1;23580.12;5.50;0.00
2024-01-25;51;6.4;26011.02;0.20;0.00
2024-01-26;61;5.1;385.03;3.50;0.00
2024-01-27;3;4.0;7207.62;0.00;0.00
2024-01-28;3;1.4;26765.00;0.00;0.00
2024-01-29;3;3.1;26827.39;0.00;0.00
2024-01-30;51;4.5;22168.25;0.10;0.00
2024-01-31;3;4.9;0.00;0.00;0.00
2024-02-01;53;5.8;25200.00;2.10;0.00
2024-02-02;51;5.8;0.00;1.30;0.00
2024-02-03;51;8.9;2679.88;2.70;0.00
2024-02-04;55;6.9;13369.18;1.70;0.00
2024-02-05;61;8.9;0.00;11.30;0.00
2024-02-06;51;9.2;0.00;1.80;0.00
2024-02-07;63;4.0;20286.61;8.60;0.00
2024-02-08;71;1.0;8341.46;3.00;0.07
2024-02-09;73;4.3;0.00;12.40;0.98
2024-02-10;61;8.6;20192.39;5.50;0.00
2024-02-11;53;7.3;645.60;6.00;0.00
2024-02-12;53;6.5;6110.22;5.00;0.00
2024-02-13;51;4.6;30547.36;0.10;0.00
2024-02-14;63;6.2;3510.96;4.70;0.00
